date,dogecoin_unscaled,dogecoin_monthly,isPartial,scale,dogecoin
2018-01-16,40,3.0,,0.03,1.2
2018-01-17,38,3.0,,0.03,1.14
2018-01-18,32,3.0,,0.03,0.96
2018-01-19,25,3.0,,0.03,0.75
2018-01-20,29,3.0,,0.03,0.87
2018-01-21,25,2.0,False,0.02,0.5
2018-01-22,27,2.0,,0.02,0.54
2018-01-23,24,2.0,,0.02,0.48
2018-01-24,26,2.0,,0.02,0.52
2018-01-25,22,2.0,,0.02,0.44
2018-01-26,20,2.0,,0.02,0.4
2018-01-27,21,2.0,,0.02,0.42
2018-01-28,23,1.0,False,0.01,0.23
2018-01-29,20,1.0,,0.01,0.2
2018-01-30,16,1.0,,0.01,0.16
2018-01-31,22,1.0,,0.01,0.22
2018-02-01,95,1.0,,0.01,0.9500000000000001
2018-02-02,100,1.0,,0.01,1.0
2018-02-03,82,1.0,,0.01,0.8200000000000001
2018-02-04,63,1.0,False,0.01,0.63
2018-02-05,58,1.0,,0.01,0.58
2018-02-06,83,1.0,,0.01,0.8300000000000001
2018-02-07,79,1.0,,0.01,0.79
2018-02-08,80,1.0,,0.01,0.8
2018-02-09,71,1.0,,0.01,0.71
2018-02-10,63,1.0,,0.01,0.63
2018-02-11,83,1.0,False,0.01,0.8300000000000001
2018-02-12,46,1.0,,0.01,0.46
2018-02-13,34,1.0,,0.01,0.34
2018-02-14,67,1.0,,0.01,0.67
2018-02-15,65,1.0,,0.01,0.65
2018-02-16,81,1.0,,0.01,0.81
2018-02-17,77,1.0,,0.01,0.77
2018-02-18,72,1.0,False,0.01,0.72
2018-02-19,49,1.0,,0.01,0.49
2018-02-20,60,1.0,,0.01,0.6
2018-02-21,55,1.0,,0.01,0.55
2018-02-22,28,1.0,,0.01,0.28
2018-02-23,54,1.0,,0.01,0.54
2018-02-24,59,1.0,,0.01,0.59
2018-02-25,51,1.0,False,0.01,0.51
2018-02-26,49,1.0,,0.01,0.49
2018-02-27,44,1.0,,0.01,0.44
2018-02-28,82,1.0,,0.01,0.8200000000000001
2018-03-01,59,1.0,,0.01,0.59
2018-03-02,71,1.0,,0.01,0.71
2018-03-03,59,1.0,,0.01,0.59
2018-03-04,68,1.0,False,0.01,0.68
2018-03-05,45,1.0,,0.01,0.45
2018-03-06,51,1.0,,0.01,0.51
2018-03-07,49,1.0,,0.01,0.49
2018-03-08,62,1.0,,0.01,0.62
2018-03-09,46,1.0,,0.01,0.46
2018-03-10,48,1.0,,0.01,0.48
2018-03-11,58,1.0,False,0.01,0.58
2018-03-12,100,1.0,,0.01,1.0
2018-03-13,64,1.0,,0.01,0.64
2018-03-14,56,1.0,,0.01,0.56
2018-03-15,54,1.0,,0.01,0.54
2018-03-16,28,1.0,,0.01,0.28
2018-03-17,50,1.0,,0.01,0.5
2018-03-18,49,1.0,False,0.01,0.49
2018-03-19,32,1.0,,0.01,0.32
2018-03-20,63,1.0,,0.01,0.63
2018-03-21,64,1.0,,0.01,0.64
2018-03-22,49,1.0,,0.01,0.49
2018-03-23,59,1.0,,0.01,0.59
2018-03-24,40,1.0,,0.01,0.4
2018-03-25,66,1.0,False,0.01,0.66
2018-03-26,42,1.0,,0.01,0.42
2018-03-27,47,1.0,,0.01,0.47000000000000003
2018-03-28,43,1.0,,0.01,0.43
2018-03-29,42,1.0,,0.01,0.42
2018-03-30,51,1.0,,0.01,0.51
2018-03-31,26,1.0,,0.01,0.26
2018-04-01,75,1.0,False,0.01,0.75
2018-04-02,53,1.0,,0.01,0.53
2018-04-03,63,1.0,,0.01,0.63
2018-04-04,33,1.0,,0.01,0.33
2018-04-05,51,1.0,,0.01,0.51
2018-04-06,63,1.0,,0.01,0.63
2018-04-07,58,1.0,,0.01,0.58
2018-04-08,65,1.0,False,0.01,0.65
2018-04-09,63,1.0,,0.01,0.63
2018-04-10,92,1.0,,0.01,0.92
2018-04-11,66,1.0,,0.01,0.66
2018-04-12,44,1.0,,0.01,0.44
2018-04-13,67,1.0,,0.01,0.67
2018-04-14,62,1.0,,0.01,0.62
2018-04-15,57,1.0,False,0.01,0.5700000000000001
2018-04-16,83,1.0,,0.01,0.8300000000000001
2018-04-17,83,1.0,,0.01,0.8300000000000001
2018-04-18,67,1.0,,0.01,0.67
2018-04-19,100,1.0,,0.01,1.0
2018-04-20,82,1.0,,0.01,0.8200000000000001
2018-04-21,95,1.0,,0.01,0.9500000000000001
2018-04-22,69,1.0,False,0.01,0.6900000000000001
2018-04-23,42,1.0,,0.01,0.42
2018-04-24,76,1.0,,0.01,0.76
2018-04-25,80,1.0,,0.01,0.8
2018-04-26,73,1.0,,0.01,0.73
2018-04-27,64,1.0,,0.01,0.64
2018-04-28,68,1.0,,0.01,0.68
2018-04-29,61,1.0,False,0.01,0.61
2018-04-30,52,1.0,,0.01,0.52
2018-05-01,73,1.0,,0.01,0.73
2018-05-02,76,1.0,,0.01,0.76
2018-05-03,65,1.0,,0.01,0.65
2018-05-04,38,1.0,,0.01,0.38
2018-05-05,70,1.0,,0.01,0.7000000000000001
2018-05-06,55,1.0,False,0.01,0.55
2018-05-07,88,1.0,,0.01,0.88
2018-05-08,100,1.0,,0.01,1.0
2018-05-09,40,1.0,,0.01,0.4
2018-05-10,93,1.0,,0.01,0.93
2018-05-11,54,1.0,,0.01,0.54
2018-05-12,94,1.0,,0.01,0.9400000000000001
2018-05-13,46,0.0,False,0.0,0.0
2018-05-14,60,0.0,,0.0,0.0
2018-05-15,71,0.0,,0.0,0.0
2018-05-16,44,0.0,,0.0,0.0
2018-05-17,69,0.0,,0.0,0.0
2018-05-18,64,0.0,,0.0,0.0
2018-05-19,42,0.0,,0.0,0.0
2018-05-20,75,1.0,False,0.01,0.75
2018-05-21,61,1.0,,0.01,0.61
2018-05-22,93,1.0,,0.01,0.93
2018-05-23,64,1.0,,0.01,0.64
2018-05-24,69,1.0,,0.01,0.6900000000000001
2018-05-25,39,1.0,,0.01,0.39
2018-05-26,33,1.0,,0.01,0.33
2018-05-27,65,0.0,False,0.0,0.0
2018-05-28,58,0.0,,0.0,0.0
2018-05-29,44,0.0,,0.0,0.0
2018-05-30,61,0.0,,0.0,0.0
2018-05-31,29,0.0,,0.0,0.0
2018-06-01,52,0.0,,0.0,0.0
2018-06-02,100,0.0,,0.0,0.0
2018-06-03,52,0.0,False,0.0,0.0
2018-06-04,67,0.0,,0.0,0.0
2018-06-05,62,0.0,,0.0,0.0
2018-06-06,49,0.0,,0.0,0.0
2018-06-07,40,0.0,,0.0,0.0
2018-06-08,71,0.0,,0.0,0.0
2018-06-09,68,0.0,,0.0,0.0
2018-06-10,68,0.0,False,0.0,0.0
2018-06-11,52,0.0,,0.0,0.0
2018-06-12,28,0.0,,0.0,0.0
2018-06-13,71,0.0,,0.0,0.0
2018-06-14,83,0.0,,0.0,0.0
2018-06-15,80,0.0,,0.0,0.0
2018-06-16,62,0.0,,0.0,0.0
2018-06-17,35,0.0,False,0.0,0.0
2018-06-18,44,0.0,,0.0,0.0
2018-06-19,35,0.0,,0.0,0.0
2018-06-20,31,0.0,,0.0,0.0
2018-06-21,67,0.0,,0.0,0.0
2018-06-22,51,0.0,,0.0,0.0
2018-06-23,56,0.0,,0.0,0.0
2018-06-24,50,0.0,False,0.0,0.0
2018-06-25,66,0.0,,0.0,0.0
2018-06-26,56,0.0,,0.0,0.0
2018-06-27,43,0.0,,0.0,0.0
2018-06-28,45,0.0,,0.0,0.0
2018-06-29,28,0.0,,0.0,0.0
2018-06-30,40,0.0,,0.0,0.0
2018-07-01,17,0.0,False,0.0,0.0
2018-07-02,24,0.0,,0.0,0.0
2018-07-03,35,0.0,,0.0,0.0
2018-07-04,23,0.0,,0.0,0.0
2018-07-05,23,0.0,,0.0,0.0
2018-07-06,40,0.0,,0.0,0.0
2018-07-07,23,0.0,,0.0,0.0
2018-07-08,26,0.0,False,0.0,0.0
2018-07-09,15,0.0,,0.0,0.0
2018-07-10,26,0.0,,0.0,0.0
2018-07-11,27,0.0,,0.0,0.0
2018-07-12,23,0.0,,0.0,0.0
2018-07-13,26,0.0,,0.0,0.0
2018-07-14,32,0.0,,0.0,0.0
2018-07-15,36,1.0,False,0.01,0.36
2018-07-16,45,1.0,,0.01,0.45
2018-07-17,88,1.0,,0.01,0.88
2018-07-18,94,1.0,,0.01,0.9400000000000001
2018-07-19,100,1.0,,0.01,1.0
2018-07-20,67,1.0,,0.01,0.67
2018-07-21,26,1.0,,0.01,0.26
2018-07-22,37,1.0,False,0.01,0.37
2018-07-23,50,1.0,,0.01,0.5
2018-07-24,66,1.0,,0.01,0.66
2018-07-25,32,1.0,,0.01,0.32
2018-07-26,56,1.0,,0.01,0.56
2018-07-27,35,1.0,,0.01,0.35000000000000003
2018-07-28,33,1.0,,0.01,0.33
2018-07-29,39,1.0,False,0.01,0.39
2018-07-30,43,1.0,,0.01,0.43
2018-07-31,27,1.0,,0.01,0.27
2018-08-01,25,1.0,,0.01,0.25
2018-08-02,17,1.0,,0.01,0.17
2018-08-03,16,1.0,,0.01,0.16
2018-08-04,21,1.0,,0.01,0.21
2018-08-05,17,0.0,False,0.0,0.0
2018-08-06,23,0.0,,0.0,0.0
2018-08-07,21,0.0,,0.0,0.0
2018-08-08,16,0.0,,0.0,0.0
2018-08-09,20,0.0,,0.0,0.0
2018-08-10,16,0.0,,0.0,0.0
2018-08-11,13,0.0,,0.0,0.0
2018-08-12,23,0.0,False,0.0,0.0
2018-08-13,19,0.0,,0.0,0.0
2018-08-14,12,0.0,,0.0,0.0
2018-08-15,21,0.0,,0.0,0.0
2018-08-16,17,0.0,,0.0,0.0
2018-08-17,20,0.0,,0.0,0.0
2018-08-18,26,0.0,,0.0,0.0
2018-08-19,18,0.0,False,0.0,0.0
2018-08-20,20,0.0,,0.0,0.0
2018-08-21,21,0.0,,0.0,0.0
2018-08-22,11,0.0,,0.0,0.0
2018-08-23,14,0.0,,0.0,0.0
2018-08-24,26,0.0,,0.0,0.0
2018-08-25,18,0.0,,0.0,0.0
2018-08-26,17,1.0,False,0.01,0.17
2018-08-27,18,1.0,,0.01,0.18
2018-08-28,20,1.0,,0.01,0.2
2018-08-29,20,1.0,,0.01,0.2
2018-08-30,51,1.0,,0.01,0.51
2018-08-31,100,1.0,,0.01,1.0
2018-09-01,100,1.0,,0.01,1.0
2018-09-02,75,2.0,False,0.02,1.5
2018-09-03,41,2.0,,0.02,0.8200000000000001
2018-09-04,57,2.0,,0.02,1.1400000000000001
2018-09-05,60,2.0,,0.02,1.2
2018-09-06,46,2.0,,0.02,0.92
2018-09-07,39,2.0,,0.02,0.78
2018-09-08,55,2.0,,0.02,1.1
2018-09-09,36,1.0,False,0.01,0.36
2018-09-10,58,1.0,,0.01,0.58
2018-09-11,54,1.0,,0.01,0.54
2018-09-12,43,1.0,,0.01,0.43
2018-09-13,47,1.0,,0.01,0.47000000000000003
2018-09-14,46,1.0,,0.01,0.46
2018-09-15,33,1.0,,0.01,0.33
2018-09-16,27,1.0,False,0.01,0.27
2018-09-17,37,1.0,,0.01,0.37
2018-09-18,28,1.0,,0.01,0.28
2018-09-19,23,1.0,,0.01,0.23
2018-09-20,30,1.0,,0.01,0.3
2018-09-21,18,1.0,,0.01,0.18
2018-09-22,14,1.0,,0.01,0.14
2018-09-23,24,1.0,False,0.01,0.24
2018-09-24,14,1.0,,0.01,0.14
2018-09-25,18,1.0,,0.01,0.18
2018-09-26,21,1.0,,0.01,0.21
2018-09-27,24,1.0,,0.01,0.24
2018-09-28,22,1.0,,0.01,0.22
2018-09-29,26,1.0,,0.01,0.26
2018-09-30,22,0.0,False,0.0,0.0
2018-10-01,46,0.0,,0.0,0.0
2018-10-02,55,0.0,,0.0,0.0
2018-10-03,70,0.0,,0.0,0.0
2018-10-04,76,0.0,,0.0,0.0
2018-10-05,40,0.0,,0.0,0.0
2018-10-06,54,0.0,,0.0,0.0
2018-10-07,73,1.0,False,0.01,0.73
2018-10-08,80,1.0,,0.01,0.8
2018-10-09,69,1.0,,0.01,0.6900000000000001
2018-10-10,43,1.0,,0.01,0.43
2018-10-11,93,1.0,,0.01,0.93
2018-10-12,72,1.0,,0.01,0.72
2018-10-13,56,1.0,,0.01,0.56
2018-10-14,88,0.0,False,0.0,0.0
2018-10-15,38,0.0,,0.0,0.0
2018-10-16,100,0.0,,0.0,0.0
2018-10-17,81,0.0,,0.0,0.0
2018-10-18,78,0.0,,0.0,0.0
2018-10-19,92,0.0,,0.0,0.0
2018-10-20,71,0.0,,0.0,0.0
2018-10-21,75,0.0,False,0.0,0.0
2018-10-22,24,0.0,,0.0,0.0
2018-10-23,57,0.0,,0.0,0.0
2018-10-24,66,0.0,,0.0,0.0
2018-10-25,61,0.0,,0.0,0.0
2018-10-26,60,0.0,,0.0,0.0
2018-10-27,69,0.0,,0.0,0.0
2018-10-28,84,0.0,False,0.0,0.0
2018-10-29,54,0.0,,0.0,0.0
2018-10-30,61,0.0,,0.0,0.0
2018-10-31,63,0.0,,0.0,0.0
2018-11-01,80,0.0,,0.0,0.0
2018-11-02,100,0.0,,0.0,0.0
2018-11-03,28,0.0,,0.0,0.0
2018-11-04,67,0.0,False,0.0,0.0
2018-11-05,59,0.0,,0.0,0.0
2018-11-06,61,0.0,,0.0,0.0
2018-11-07,36,0.0,,0.0,0.0
2018-11-08,42,0.0,,0.0,0.0
2018-11-09,54,0.0,,0.0,0.0
2018-11-10,54,0.0,,0.0,0.0
2018-11-11,68,0.0,False,0.0,0.0
2018-11-12,71,0.0,,0.0,0.0
2018-11-13,71,0.0,,0.0,0.0
2018-11-14,95,0.0,,0.0,0.0
2018-11-15,71,0.0,,0.0,0.0
2018-11-16,35,0.0,,0.0,0.0
2018-11-17,60,0.0,,0.0,0.0
2018-11-18,26,0.0,False,0.0,0.0
2018-11-19,67,0.0,,0.0,0.0
2018-11-20,61,0.0,,0.0,0.0
2018-11-21,66,0.0,,0.0,0.0
2018-11-22,49,0.0,,0.0,0.0
2018-11-23,44,0.0,,0.0,0.0
2018-11-24,69,0.0,,0.0,0.0
2018-11-25,73,0.0,False,0.0,0.0
2018-11-26,60,0.0,,0.0,0.0
2018-11-27,32,0.0,,0.0,0.0
2018-11-28,75,0.0,,0.0,0.0
2018-11-29,76,0.0,,0.0,0.0
2018-11-30,58,0.0,,0.0,0.0
2018-12-01,57,0.0,,0.0,0.0
2018-12-02,100,0.0,False,0.0,0.0
2018-12-03,50,0.0,,0.0,0.0
2018-12-04,69,0.0,,0.0,0.0
2018-12-05,69,0.0,,0.0,0.0
2018-12-06,65,0.0,,0.0,0.0
2018-12-07,63,0.0,,0.0,0.0
2018-12-08,40,0.0,,0.0,0.0
2018-12-09,39,0.0,False,0.0,0.0
2018-12-10,61,0.0,,0.0,0.0
2018-12-11,55,0.0,,0.0,0.0
2018-12-12,20,0.0,,0.0,0.0
2018-12-13,73,0.0,,0.0,0.0
2018-12-14,31,0.0,,0.0,0.0
2018-12-15,59,0.0,,0.0,0.0
2018-12-16,35,0.0,False,0.0,0.0
2018-12-17,76,0.0,,0.0,0.0
2018-12-18,73,0.0,,0.0,0.0
2018-12-19,74,0.0,,0.0,0.0
2018-12-20,70,0.0,,0.0,0.0
2018-12-21,56,0.0,,0.0,0.0
2018-12-22,67,0.0,,0.0,0.0
2018-12-23,86,0.0,False,0.0,0.0
2018-12-24,60,0.0,,0.0,0.0
2018-12-25,77,0.0,,0.0,0.0
2018-12-26,34,0.0,,0.0,0.0
2018-12-27,33,0.0,,0.0,0.0
2018-12-28,56,0.0,,0.0,0.0
2018-12-29,41,0.0,,0.0,0.0
2018-12-30,84,0.0,False,0.0,0.0
2018-12-31,83,0.0,,0.0,0.0
2019-01-01,74,0.0,,0.0,0.0
2019-01-02,75,0.0,,0.0,0.0
2019-01-03,45,0.0,,0.0,0.0
2019-01-04,51,0.0,,0.0,0.0
2019-01-05,49,0.0,,0.0,0.0
2019-01-06,30,0.0,False,0.0,0.0
2019-01-07,71,0.0,,0.0,0.0
2019-01-08,81,0.0,,0.0,0.0
2019-01-09,49,0.0,,0.0,0.0
2019-01-10,87,0.0,,0.0,0.0
2019-01-11,51,0.0,,0.0,0.0
2019-01-12,61,0.0,,0.0,0.0
2019-01-13,67,0.0,False,0.0,0.0
2019-01-14,59,0.0,,0.0,0.0
2019-01-15,43,0.0,,0.0,0.0
2019-01-16,65,0.0,,0.0,0.0
2019-01-17,48,0.0,,0.0,0.0
2019-01-18,78,0.0,,0.0,0.0
2019-01-19,24,0.0,,0.0,0.0
2019-01-20,80,0.0,False,0.0,0.0
2019-01-21,59,0.0,,0.0,0.0
2019-01-22,58,0.0,,0.0,0.0
2019-01-23,63,0.0,,0.0,0.0
2019-01-24,100,0.0,,0.0,0.0
2019-01-25,55,0.0,,0.0,0.0
2019-01-26,43,0.0,,0.0,0.0
2019-01-27,77,0.0,False,0.0,0.0
2019-01-28,65,0.0,,0.0,0.0
2019-01-29,65,0.0,,0.0,0.0
2019-01-30,48,0.0,,0.0,0.0
2019-01-31,75,0.0,,0.0,0.0
2019-02-01,67,0.0,,0.0,0.0
2019-02-02,67,0.0,,0.0,0.0
2019-02-03,66,0.0,False,0.0,0.0
2019-02-04,65,0.0,,0.0,0.0
2019-02-05,42,0.0,,0.0,0.0
2019-02-06,52,0.0,,0.0,0.0
2019-02-07,41,0.0,,0.0,0.0
2019-02-08,73,0.0,,0.0,0.0
2019-02-09,66,0.0,,0.0,0.0
2019-02-10,65,0.0,False,0.0,0.0
2019-02-11,74,0.0,,0.0,0.0
2019-02-12,63,0.0,,0.0,0.0
2019-02-13,41,0.0,,0.0,0.0
2019-02-14,41,0.0,,0.0,0.0
2019-02-15,73,0.0,,0.0,0.0
2019-02-16,47,0.0,,0.0,0.0
2019-02-17,100,0.0,False,0.0,0.0
2019-02-18,71,0.0,,0.0,0.0
2019-02-19,52,0.0,,0.0,0.0
2019-02-20,81,0.0,,0.0,0.0
2019-02-21,41,0.0,,0.0,0.0
2019-02-22,49,0.0,,0.0,0.0
2019-02-23,87,0.0,,0.0,0.0
2019-02-24,80,0.0,False,0.0,0.0
2019-02-25,57,0.0,,0.0,0.0
2019-02-26,41,0.0,,0.0,0.0
2019-02-27,57,0.0,,0.0,0.0
2019-02-28,59,0.0,,0.0,0.0
2019-03-01,48,0.0,,0.0,0.0
2019-03-02,74,0.0,,0.0,0.0
2019-03-03,81,0.0,False,0.0,0.0
2019-03-04,80,0.0,,0.0,0.0
2019-03-05,86,0.0,,0.0,0.0
2019-03-06,51,0.0,,0.0,0.0
2019-03-07,66,0.0,,0.0,0.0
2019-03-08,48,0.0,,0.0,0.0
2019-03-09,68,0.0,,0.0,0.0
2019-03-10,66,0.0,False,0.0,0.0
2019-03-11,59,0.0,,0.0,0.0
2019-03-12,72,0.0,,0.0,0.0
2019-03-13,84,0.0,,0.0,0.0
2019-03-14,53,0.0,,0.0,0.0
2019-03-15,68,0.0,,0.0,0.0
2019-03-16,60,0.0,,0.0,0.0
2019-03-17,59,0.0,False,0.0,0.0
2019-03-18,66,0.0,,0.0,0.0
2019-03-19,75,0.0,,0.0,0.0
2019-03-20,85,0.0,,0.0,0.0
2019-03-21,68,0.0,,0.0,0.0
2019-03-22,27,0.0,,0.0,0.0
2019-03-23,30,0.0,,0.0,0.0
2019-03-24,55,0.0,False,0.0,0.0
2019-03-25,66,0.0,,0.0,0.0
2019-03-26,65,0.0,,0.0,0.0
2019-03-27,74,0.0,,0.0,0.0
2019-03-28,47,0.0,,0.0,0.0
2019-03-29,49,0.0,,0.0,0.0
2019-03-30,100,0.0,,0.0,0.0
2019-03-31,60,1.0,False,0.01,0.6
2019-04-01,30,1.0,,0.01,0.3
2019-04-02,46,1.0,,0.01,0.46
2019-04-03,100,1.0,,0.01,1.0
2019-04-04,63,1.0,,0.01,0.63
2019-04-05,42,1.0,,0.01,0.42
2019-04-06,31,1.0,,0.01,0.31
2019-04-07,33,0.0,False,0.0,0.0
2019-04-08,24,0.0,,0.0,0.0
2019-04-09,27,0.0,,0.0,0.0
2019-04-10,29,0.0,,0.0,0.0
2019-04-11,9,0.0,,0.0,0.0
2019-04-12,19,0.0,,0.0,0.0
2019-04-13,26,0.0,,0.0,0.0
2019-04-14,23,0.0,False,0.0,0.0
2019-04-15,32,0.0,,0.0,0.0
2019-04-16,15,0.0,,0.0,0.0
2019-04-17,21,0.0,,0.0,0.0
2019-04-18,30,0.0,,0.0,0.0
2019-04-19,34,0.0,,0.0,0.0
2019-04-20,4,0.0,,0.0,0.0
2019-04-21,22,0.0,False,0.0,0.0
2019-04-22,24,0.0,,0.0,0.0
2019-04-23,21,0.0,,0.0,0.0
2019-04-24,32,0.0,,0.0,0.0
2019-04-25,30,0.0,,0.0,0.0
2019-04-26,29,0.0,,0.0,0.0
2019-04-27,21,0.0,,0.0,0.0
2019-04-28,12,0.0,False,0.0,0.0
2019-04-29,11,0.0,,0.0,0.0
2019-04-30,26,0.0,,0.0,0.0
2019-05-01,42,0.0,,0.0,0.0
2019-05-02,31,0.0,,0.0,0.0
2019-05-03,32,0.0,,0.0,0.0
2019-05-04,89,0.0,,0.0,0.0
2019-05-05,39,0.0,False,0.0,0.0
2019-05-06,56,0.0,,0.0,0.0
2019-05-07,64,0.0,,0.0,0.0
2019-05-08,35,0.0,,0.0,0.0
2019-05-09,49,0.0,,0.0,0.0
2019-05-10,69,0.0,,0.0,0.0
2019-05-11,62,0.0,,0.0,0.0
2019-05-12,86,0.0,False,0.0,0.0
2019-05-13,49,0.0,,0.0,0.0
2019-05-14,95,0.0,,0.0,0.0
2019-05-15,83,0.0,,0.0,0.0
2019-05-16,93,0.0,,0.0,0.0
2019-05-17,32,0.0,,0.0,0.0
2019-05-18,71,0.0,,0.0,0.0
2019-05-19,60,0.0,False,0.0,0.0
2019-05-20,66,0.0,,0.0,0.0
2019-05-21,81,0.0,,0.0,0.0
2019-05-22,65,0.0,,0.0,0.0
2019-05-23,72,0.0,,0.0,0.0
2019-05-24,90,0.0,,0.0,0.0
2019-05-25,51,0.0,,0.0,0.0
2019-05-26,70,0.0,False,0.0,0.0
2019-05-27,88,0.0,,0.0,0.0
2019-05-28,68,0.0,,0.0,0.0
2019-05-29,30,0.0,,0.0,0.0
2019-05-30,100,0.0,,0.0,0.0
2019-05-31,45,0.0,,0.0,0.0
2019-06-01,83,0.0,,0.0,0.0
2019-06-02,40,0.0,False,0.0,0.0
2019-06-03,61,0.0,,0.0,0.0
2019-06-04,72,0.0,,0.0,0.0
2019-06-05,41,0.0,,0.0,0.0
2019-06-06,72,0.0,,0.0,0.0
2019-06-07,58,0.0,,0.0,0.0
2019-06-08,70,0.0,,0.0,0.0
2019-06-09,53,0.0,False,0.0,0.0
2019-06-10,76,0.0,,0.0,0.0
2019-06-11,75,0.0,,0.0,0.0
2019-06-12,83,0.0,,0.0,0.0
2019-06-13,75,0.0,,0.0,0.0
2019-06-14,48,0.0,,0.0,0.0
2019-06-15,77,0.0,,0.0,0.0
2019-06-16,58,1.0,False,0.01,0.58
2019-06-17,77,1.0,,0.01,0.77
2019-06-18,67,1.0,,0.01,0.67
2019-06-19,67,1.0,,0.01,0.67
2019-06-20,100,1.0,,0.01,1.0
2019-06-21,49,1.0,,0.01,0.49
2019-06-22,96,1.0,,0.01,0.96
2019-06-23,96,1.0,False,0.01,0.96
2019-06-24,72,1.0,,0.01,0.72
2019-06-25,67,1.0,,0.01,0.67
2019-06-26,67,1.0,,0.01,0.67
2019-06-27,41,1.0,,0.01,0.41000000000000003
2019-06-28,64,1.0,,0.01,0.64
2019-06-29,60,1.0,,0.01,0.6
2019-06-30,94,1.0,False,0.01,0.9400000000000001
2019-07-01,21,1.0,,0.01,0.21
2019-07-02,19,1.0,,0.01,0.19
2019-07-03,34,1.0,,0.01,0.34
2019-07-04,24,1.0,,0.01,0.24
2019-07-05,100,1.0,,0.01,1.0
2019-07-06,42,1.0,,0.01,0.42
2019-07-07,28,0.0,False,0.0,0.0
2019-07-08,23,0.0,,0.0,0.0
2019-07-09,33,0.0,,0.0,0.0
2019-07-10,40,0.0,,0.0,0.0
2019-07-11,35,0.0,,0.0,0.0
2019-07-12,45,0.0,,0.0,0.0
2019-07-13,20,0.0,,0.0,0.0
2019-07-14,26,0.0,False,0.0,0.0
2019-07-15,25,0.0,,0.0,0.0
